name,domain,country
Università degli Studi di Perugia,unipg.it,it
Università degli Studi di Bari Aldo Moro,uniba.it,it
Illinois Institute of Technology,web.iit.edu,us
Hong Kong Baptist University,hkbu.edu.hk,hk
Renmin University of China / 中国人民大学,ruc.edu.cn,cn
Nanjing University of Aeronautics & Astronautics / 南京航空航天大学,nuaa.edu.cn,cn
National University of Ireland NUI Galway,nuigalway.ie,ie
National Research University Higher School of Economics / Национальный исследовательский университет Высшая школа экономики,hse.ru,ru
(3) University of Texas Health Science Center at San Antonio,uthscsa.edu,us
Universidad de Murcia,um.es,es
Northeastern University China / 东北大学,neu.edu.cn,cn
Northern Illinois University,niu.edu,us
Northern Arizona University,nau.edu,us
Nanjing University of Science & Technology / 南京理工大学,njust.edu.cn,cn
Universität Konstanz,uni-konstanz.de,de
University of Plymouth,plymouth.ac.uk,uk
Jinan University / 暨南大学,jnu.edu.cn,cn
Indian Institute of Technology Bombay,iitb.ac.in,in
Bar Ilan University,biu.ac.il,il
Universidade de Aveiro,ua.pt,pt
AGH University of Science & Technology / Akademia Górniczo-Hutnicza Stanisława Staszica w Krakowie,agh.edu.pl,pl
Ohio University,ohio.edu,us
Binghamton University,binghamton.edu,us
Wuhan University of Technology / 武汉理工大学,whut.edu.cn,cn
Università degli Studi di Palermo,unipa.it,it
Université de Nantes,univ-nantes.fr,fr
Università degli Studi di Parma,unipr.it,it
Fordham University,fordham.edu,us
Université Paris Saclay (comUE Université Paris Saclay),universite-paris-saclay.fr,fr
American University Washington DC,american.edu,us
Rockefeller University,rockefeller.edu,us
Swansea University,swansea.ac.uk,uk
University of Iceland / Háskóli Íslands,hi.is,is
Chulalongkorn University,chula.ac.th,th
Université de Rennes I,univ-rennes1.fr,fr
Universiti Teknologi Malaysia,utm.my,my
University of Massachusetts Boston,umb.edu,us
Warsaw University of Technology / Politechnika Warszawska,pw.edu.pl,pl
Florida Atlantic University,fau.edu,us
China University of Mining & Technology / 中国矿业大学,cumt.edu.cn,cn
Medical College of Wisconsin,mcw.edu,us
Université de Sherbrooke,usherbrooke.ca,ca
Universitat d'Alacant / Universidad de Alicante,ua.es,es
Tehran University of Medical Sciences,tums.ac.ir,ir
University of Birmingham,birmingham.ac.uk,uk
Pusan National University (Miryang) / 부산대학교,pusan.ac.kr,kr
Beijing University of Chemical Technology / 北京化工大学,buct.edu.cn,cn
